state,TX,,,,,,,,,,,,
deglevl,Doctoral,,,,Masters,,,,,Bachelors ,,,
PSYCHOLOGY,42184,36875.66667,-5308.333333,,PSYCHOLOGY,43396.71795,29546.16667,-13850.55128,,COMPUTER ENGINEERING,"$49,795.44","$54,037.22","$4,241.78"
PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS,65635.4,56996.66667,-8638.733333,,PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS,48581.11765,41347.57143,-7233.546218,,COMPUTER SCIENCE,"$30,509.78","$32,274.33","$1,764.56"
REHABILITATION AND THERAPEUTIC PROFESSIONS,,61254,61254,,SOCIAL SCIENCES,46635.6,32983.66667,-13651.93333,,CRIMINAL JUSTICE AND CORRECTIONS,"$39,713.02","$51,629.94","$11,916.93"
SOCIAL SCIENCES,57533.33333,51988.66667,-5544.666667,,VISUAL AND PERFORMING ARTS,39093.81481,26950,-12143.81481,,CRIMINOLOGY,"$50,928.11","$52,380.83","$1,452.72"
VISUAL AND PERFORMING ARTS,43240.66667,32391,-10849.66667,,,,,,,DESIGN AND APPLIED ARTS,"$238,773.67","$133,705.00","-$105,068.67"
,,,,,,,,,,DIETETICS AND CLINICAL NUTRITION SERVICES,"$80,603.67","$85,501.33","$4,897.67"
,,,,,,,,,,DRAMA/THEATRE ARTS AND STAGECRAFT,"$44,658.79","$43,972.67",-$686.12
,,,,,,,,,,ECONOMICS,"$44,829.61","$40,081.67","-$4,747.94"
,,,,,,,,,,"ELECTRICAL, ELECTRONICS AND COMMUNICATIONS ENGINEERING","$69,259.67","$44,942.44","-$24,317.22"
,,,,,,,,,,"ENGLISH LANGUAGE AND LITERATURE, GENERAL","$46,217.68","$30,509.39","-$15,708.29"
,,,,,,,,,,"ETHNIC, CULTURAL MINORITY, GENDER, AND GROUP STUDIES","$27,994.89","$60,276.83","$32,281.94"
,,,,,,,,,,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"$50,443.44","$24,227.00","-$26,216.44"
,,,,,,,,,,FINANCE AND FINANCIAL MANAGEMENT SERVICES,"$65,245.02","$60,110.71","-$5,134.31"
,,,,,,,,,,FINE AND STUDIO ARTS,"$49,101.38","$46,434.93","-$2,666.44"
,,,,,,,,,,"FOODS, NUTRITION, AND RELATED SERVICES","$69,236.11","$66,911.67","-$2,324.44"
,,,,,,,,,,GEOGRAPHY AND CARTOGRAPHY,"$43,982.67","$41,019.67","-$2,963.00"
,,,,,,,,,,GEOLOGICAL AND EARTH SCIENCES/GEOSCIENCES,"$36,815.06","$52,492.22","$15,677.17"
,,,,,,,,,,"GERMANIC LANGUAGES, LITERATURES, AND LINGUISTICS","$52,188.56","$44,792.50","-$7,396.06"
,,,,,,,,,,HEALTH AND PHYSICAL EDUCATION/FITNESS,"$42,367.40","$58,042.29","$15,674.89"
,,,,,,,,,,HISTORY,"$37,351.81","$26,802.50","-$10,549.31"
,,,,,,,,,,"HUMAN DEVELOPMENT, FAMILY STUDIES, AND RELATED SERVICES","$39,981.56","$26,985.50","-$12,996.06"
,,,,,,,,,,HUMAN RESOURCES MANAGEMENT AND SERVICES,"$44,690.33","$34,443.50","-$10,246.83"
,,,,,,,,,,INDUSTRIAL ENGINEERING,"$41,073.42","$39,585.78","-$1,487.64"
,,,,,,,,,,INDUSTRIAL PRODUCTION TECHNOLOGIES/TECHNICIANS,"$45,640.00","$42,682.00","-$2,958.00"
,,,,,,,,,,INTERIOR ARCHITECTURE,"$46,802.00","$39,904.00","-$6,898.00"
,,,,,,,,,,INTERNATIONAL BUSINESS,"$41,942.44","$41,446.17",-$496.28
,,,,,,,,,,JOURNALISM,"$36,745.18","$27,305.50","-$9,439.68"
,,,,,,,,,,"LIBERAL ARTS AND SCIENCES, GENERAL STUDIES AND HUMANITIES","$37,023.47","$28,511.50","-$8,511.97"
,,,,,,,,,,"LINGUISTIC, COMPARATIVE, AND RELATED LANGUAGE STUDIES AND SERVICES","$35,055.89","$24,950.78","-$10,105.11"
,,,,,,,,,,MANAGEMENT INFORMATION SYSTEMS AND SERVICES,"$48,575.87","$40,706.67","-$7,869.20"
,,,,,,,,,,MARKETING,"$40,325.50","$30,104.75","-$10,220.75"
,,,,,,,,,,MATHEMATICS,"$42,823.67","$34,169.60","-$8,654.07"
,,,,,,,,,,MECHANICAL ENGINEERING,"$62,092.87","$52,193.75","-$9,899.12"
,,,,,,,,,,MICROBIOLOGICAL SCIENCES AND IMMUNOLOGY,"$40,126.00","$39,511.83",-$614.17
,,,,,,,,,,MULTI/INTERDISCIPLINARY STUDIES,"$41,471.05","$31,472.22","-$9,998.83"
,,,,,,,,,,MUSIC,"$37,048.91","$32,322.50","-$4,726.41"
,,,,,,,,,,PETROLEUM ENGINEERING,"$115,832.33","$92,632.00","-$23,200.33"
,,,,,,,,,,PHILOSOPHY,"$54,113.74","$42,530.56","-$11,583.19"
,,,,,,,,,,PHYSICS,"$43,476.52","$42,723.67",-$752.85
,,,,,,,,,,POLITICAL SCIENCE AND GOVERNMENT,"$37,537.59","$25,365.67","-$12,171.92"
,,,,,,,,,,PSYCHOLOGY,"$33,558.56","$23,269.00","-$10,289.56"
,,,,,,,,,,PUBLIC ADMINISTRATION,"$50,856.00","$34,704.00","-$16,152.00"
,,,,,,,,,,"PUBLIC RELATIONS, ADVERTISING, AND APPLIED COMMUNICATION","$40,398.83","$28,069.00","-$12,329.83"
,,,,,,,,,,"RADIO, TELEVISION, AND DIGITAL COMMUNICATION","$33,060.67","$26,753.25","-$6,307.42"
,,,,,,,,,,REAL ESTATE,"$27,470.89","$43,981.67","$16,510.78"
,,,,,,,,,,"REGISTERED NURSING, NURSING ADMINISTRATION, NURSING RESEARCH AND CLINICAL NURSING","$59,687.78","$54,500.44","-$5,187.33"
,,,,,,,,,,REHABILITATION AND THERAPEUTIC PROFESSIONS,"$48,648.87","$22,420.00","-$26,228.87"
,,,,,,,,,,RHETORIC AND COMPOSITION/WRITING STUDIES,"$39,784.67","$28,539.67","-$11,245.00"
,,,,,,,,,,"ROMANCE LANGUAGES, LITERATURES, AND LINGUISTICS","$37,932.86","$27,985.33","-$9,947.52"
,,,,,,,,,,SOCIAL SCIENCES,"$40,447.11","$30,771.00","-$9,676.11"
,,,,,,,,,,SOCIAL WORK,"$35,908.17","$26,388.75","-$9,519.42"
,,,,,,,,,,SOCIOLOGY,35582.69565,28144.33333,"-$7,438.36"
,,,,,,,,,,VISUAL AND PERFORMING ARTS,30247.83333,23096,"-$7,151.83"
